"depth.layer"	"Time.foraging"	"state"	"param"
640	19099.547555936	"rest"	"mean"
640	16114.5850683837	"preg"	"min"
640	18355.6863030596	"preg"	"max"
640	17235.1356857216	"preg"	"mean"
640	16114.5850683837	"lact"	"min"
640	18355.6863030596	"lact"	"max"
640	17235.1356857216	"lact"	"mean"
650	17691.323946913	"rest"	"min"
650	20151.706747477	"rest"	"max"
650	18921.515347195	"rest"	"mean"
650	15964.3765273559	"preg"	"min"
650	18184.5878324849	"preg"	"max"
650	17074.4821799204	"preg"	"mean"
650	15964.3765273559	"lact"	"min"
650	18184.5878324849	"lact"	"max"
650	17074.4821799204	"lact"	"mean"
660	17527.941120009	"rest"	"min"
660	19965.6018055731	"rest"	"max"
660	18746.771462791	"rest"	"mean"
660	15816.9423966698	"preg"	"min"
660	18016.6496173987	"preg"	"max"
660	16916.7960070342	"preg"	"mean"
660	15816.9423966698	"lact"	"min"
660	18016.6496173987	"lact"	"max"
660	16916.7960070342	"lact"	"mean"
670	17367.5484232107	"rest"	"min"
670	19782.9028396837	"rest"	"max"
670	18575.2256314472	"rest"	"mean"
670	15672.2065130463	"preg"	"min"
670	17851.784902278	"preg"	"max"
670	16761.9957076621	"preg"	"mean"
670	15672.2065130463	"lact"	"min"
670	17851.784902278	"lact"	"max"
670	16761.9957076621	"lact"	"mean"
680	17210.0645156125	"rest"	"min"
680	19603.5171965917	"rest"	"max"
680	18406.7908561021	"rest"	"mean"
680	15530.0954757129	"preg"	"min"
680	17689.9100782955	"preg"	"max"
680	16610.0027770042	"preg"	"mean"
680	15530.0954757129	"lact"	"min"
680	17689.9100782955	"lact"	"max"
680	16610.0027770042	"lact"	"mean"
690	17055.4109800997	"rest"	"min"
690	19427.355553491	"rest"	"max"
690	18241.3832667953	"rest"	"mean"
690	15390.5385222807	"preg"	"min"
690	17530.9445419356	"preg"	"max"
690	16460.7415321082	"preg"	"mean"
690	15390.5385222807	"lact"	"min"
690	17530.9445419356	"lact"	"max"
690	16460.7415321082	"lact"	"mean"
700	16903.5121931495	"rest"	"min"
700	19254.3317696803	"rest"	"max"
700	18078.9219814149	"rest"	"mean"
700	15253.4674112549	"preg"	"min"
700	17374.8105611645	"preg"	"max"
700	16314.1389862097	"preg"	"mean"
700	15253.4674112549	"lact"	"min"
700	17374.8105611645	"lact"	"max"
700	16314.1389862097	"lact"	"mean"
710	16754.2952015282	"rest"	"min"
710	19084.3627461116	"rest"	"max"
710	17919.3289738199	"rest"	"mean"
710	15118.816310768	"preg"	"min"
710	17221.4331486894	"preg"	"max"
710	16170.1247297287	"preg"	"mean"
710	15118.816310768	"lact"	"min"
710	17221.4331486894	"lact"	"max"
710	16170.1247297287	"lact"	"mean"
720	16607.6896054609	"rest"	"min"
720	18917.368292313	"rest"	"max"
720	17762.5289488869	"rest"	"mean"
720	14986.5216931543	"preg"	"min"
720	17070.7399418711	"preg"	"max"
720	16028.6308175127	"preg"	"mean"
720	14986.5216931543	"lact"	"min"
720	17070.7399418711	"lact"	"max"
720	16028.6308175127	"lact"	"mean"
730	16463.6274478831	"rest"	"min"
730	18753.2710002377	"rest"	"max"
730	17608.4492240604	"rest"	"mean"
730	14856.5222350122	"preg"	"min"
730	16922.6610888881	"preg"	"max"
730	15889.5916619501	"preg"	"mean"
730	14856.5222350122	"lact"	"min"
730	16922.6610888881	"lact"	"max"
730	15889.5916619501	"lact"	"mean"
740	16322.0431094062	"rest"	"min"
740	18591.9961246216	"rest"	"max"
740	17457.0196170139	"rest"	"mean"
740	14728.7587224224	"preg"	"min"
740	16777.1291407725	"preg"	"max"
740	15752.9439315975	"preg"	"mean"
740	14728.7587224224	"lact"	"min"
740	16777.1291407725	"lact"	"max"
740	15752.9439315975	"lact"	"mean"
750	16182.8732086564	"rest"	"min"
750	18433.4714694629	"rest"	"max"
750	17308.1723390596	"rest"	"mean"
750	14603.1739610156	"preg"	"min"
750	16634.0789489714	"preg"	"max"
750	15618.6264549935	"preg"	"mean"
750	14603.1739610156	"lact"	"min"
750	16634.0789489714	"lact"	"max"
750	15618.6264549935	"lact"	"mean"
760	16046.0565076693	"rest"	"min"
760	18277.6272802591	"rest"	"max"
760	17161.8418939642	"rest"	"mean"
760	14479.7126906018	"preg"	"min"
760	16493.4475681027	"preg"	"max"
760	15486.5801293522	"preg"	"mean"
760	14479.7126906018	"lact"	"min"
760	16493.4475681027	"lact"	"max"
760	15486.5801293522	"lact"	"mean"
770	15911.5338220432	"rest"	"min"
770	18124.3961416651	"rest"	"max"
770	17017.9649818541	"rest"	"mean"
770	14358.3215040941	"preg"	"min"
770	16355.1741636039	"preg"	"max"
770	15356.747833849	"preg"	"mean"
770	14358.3215040941	"lact"	"min"
770	16355.1741636039	"lact"	"max"
770	15356.747833849	"lact"	"mean"
780	15779.2479355738	"rest"	"min"
780	17973.7128802563	"rest"	"max"
780	16876.480407915	"rest"	"mean"
780	14238.9487704768	"preg"	"min"
780	16219.1999239868	"preg"	"max"
780	15229.0743472318	"preg"	"mean"
780	14238.9487704768	"lact"	"min"
780	16219.1999239868	"lact"	"max"
780	15229.0743472318	"lact"	"mean"
790	15649.1435191131	"rest"	"min"
790	17825.5144721023	"rest"	"max"
790	16737.3289956077	"rest"	"mean"
790	14121.5445615842	"preg"	"min"
790	16085.4679774336	"preg"	"max"
790	15103.5062695089	"preg"	"mean"
790	14121.5445615842	"lact"	"min"
790	16085.4679774336	"lact"	"max"
790	15103.5062695089	"lact"	"mean"
800	15521.1670534084	"rest"	"min"
800	17679.7399548758	"rest"	"max"
